Date,Open,High,Low,Close,Adj Close,Volume
2016-11-23,22.299999,22.299999,21.991667,22.046667,21.462238,30000
2016-11-25,22.035000,22.254999,21.959999,22.254999,21.665043,13200
2016-11-28,22.059999,22.248333,21.985001,22.081667,21.496313,46200
2016-11-29,21.916668,22.236668,21.893333,21.893333,21.312967,45600
2016-11-30,22.230000,22.230000,21.698334,21.709999,21.134493,48000
2016-12-01,20.833332,20.833332,19.321667,19.705000,19.182646,70800
2016-12-02,19.583332,20.161667,19.535000,20.161667,19.627209,17400
2016-12-05,20.333332,20.735001,20.333332,20.643333,20.096106,9000
2016-12-06,20.540001,20.936666,20.540001,20.913334,20.358952,25200
2016-12-07,20.916668,21.865000,20.916668,21.865000,21.285389,13800
2016-12-08,22.201668,22.478333,21.991667,22.248333,21.658558,22800
2016-12-09,23.155001,23.155001,22.048332,22.105000,21.519028,53400
2016-12-12,21.940001,22.043333,21.761667,21.895000,21.314590,15000
2016-12-13,22.500000,22.823334,22.500000,22.656668,22.056070,16200
2016-12-14,22.573334,22.745001,22.416668,22.416668,21.822430,33600
2016-12-15,22.961666,23.246668,22.680000,23.195000,22.580124,24000
2016-12-16,23.254999,23.280001,22.370001,22.583332,21.984676,64800
2016-12-19,22.791668,23.181667,22.791668,23.181667,22.567152,12600
2016-12-20,23.318333,23.543333,23.318333,23.469999,22.847839,21600
2016-12-21,23.321667,23.546667,23.283333,23.283333,22.714512,10200
